division,club
League One,AFC Wimbledon
League One,Barnsley
League One,Blackpool
League One,Bradford City
League One,Bromley
League One,Burton Albion
League One,Cambridge United
League One,Doncaster Rovers
League One,Huddersfield Town
League One,Leicester City
League One,Leyton Orient
League One,Luton Town
League One,Mansfield Town
League One,MK Dons
League One,Notts County
League One,Oxford United
League One,Peterborough United
League One,Plymouth Argyle
League One,Reading
League One,Sheffield Wednesday
League One,Stevenage
League One,Stockport County
League One,Wigan Athletic
League One,Wycombe Wanderers
League Two,Accrington Stanley
League Two,Barnet
League Two,Bristol Rovers
League Two,Cheltenham Town
League Two,Chesterfield
League Two,Colchester United
League Two,Crawley Town
League Two,Crewe Alexandra
League Two,Exeter City
League Two,Fleetwood Town
League Two,Gillingham
League Two,Grimsby Town
League Two,Newport County
League Two,Northampton Town
League Two,Oldham Athletic
League Two,Port Vale
League Two,Rochdale
League Two,Rotherham United
League Two,Salford City
League Two,Shrewsbury Town
League Two,Swindon Town
League Two,Tranmere Rovers
League Two,Walsall
League Two,York City
